,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,150.00","1,450.00","1,300.00",Rs./Quintal,"1,750.00",Metric Tonnes,07-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,500.00,700.00,600.00,Rs./Quintal,"1,700.00",Metric Tonnes,07-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,850.00,"1,100.00",950.00,Rs./Quintal,"1,700.00",Metric Tonnes,06-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,040.00",940.00,Rs./Quintal,"1,850.00",Metric Tonnes,05-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,560.00,740.00,650.00,Rs./Quintal,"1,550.00",Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,050.00",950.00,Rs./Quintal,"1,800.00",Metric Tonnes,04-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,750.00,670.00,Rs./Quintal,"1,450.00",Metric Tonnes,04-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,850.00,"1,100.00",980.00,Rs./Quintal,"1,950.00",Metric Tonnes,03-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,590.00,750.00,660.00,Rs./Quintal,"1,500.00",Metric Tonnes,03-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,900.00,"1,200.00","1,080.00",Rs./Quintal,"1,900.00",Metric Tonnes,02-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,580.00,750.00,650.00,Rs./Quintal,"1,680.00",Metric Tonnes,02-01-2026
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,250.00","1,100.00",Rs./Quintal,"1,700.00",Metric Tonnes,01-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,600.00,780.00,680.00,Rs./Quintal,"1,650.00",Metric Tonnes,01-01-2026
